id	height(cm)	weight(kg)
4136	125	73
4137	185	70
4138	170	43
4139	153	81
4140	118	59
4141	118	55
4142	145	43
4143	122	104
4144	182	50
4145	188	101
4146	159	63
4147	170	77
4148	146	100
4149	182	71
4150	152	77
4151	198	88
4152	140	56
4153	147	76
4154	182	99
4155	137	60
4156	142	55
4157	120	71
4158	178	81
4159	187	91
4160	172	55
4161	167	82
4162	187	98
4163	113	103
4164	131	50
4165	157	62
4166	128	56
4167	147	45
4168	193	46
4169	181	44
4170	192	65
4171	116	72
4172	136	52
4173	123	79
4174	149	88
4175	195	50
4176	171	103
4177	180	93
4178	188	65
4179	147	58
4180	126	54
4181	172	49
4182	136	54
4183	140	43
4184	139	100
4185	111	66
4186	171	88
4187	113	70
4188	134	48
4189	160	49
4190	172	98
4191	186	45
4192	186	94
4193	153	96
4194	149	93
4195	174	68
4196	166	85
4197	140	95
4198	172	87
4199	135	100
4200	166	57
4201	139	80
4202	137	89
4203	139	97
4204	125	75
4205	143	53
4206	147	54
4207	161	72
4208	119	84
4209	146	56
4210	186	103
4211	122	90
4212	146	43
4213	182	73
4214	123	90
4215	152	58
4216	142	90
4217	187	51
4218	127	48
4219	118	65
4220	180	48
4221	143	83
4222	170	53
4223	198	70
4224	168	60
4225	144	98
4226	198	91
4227	133	88
4228	195	51
4229	151	66
4230	133	104
4231	148	85
4232	128	45
4233	183	99
4234	190	98
4235	180	67
4236	192	70
4237	120	71
4238	151	82
4239	121	84
4240	124	102
4241	170	83
4242	113	44
4243	140	87
4244	193	66
4245	143	60
4246	112	79
4247	184	68
4248	135	101
4249	114	65
4250	134	45
4251	193	103
4252	151	93
4253	150	60
4254	197	101
4255	111	56
4256	192	57
4257	128	48
4258	117	84
4259	139	44
4260	142	81
4261	143	49
4262	157	100
4263	133	64
4264	194	57
4265	134	76
4266	152	59
4267	128	77
4268	131	55
4269	148	79
4270	165	63
4271	185	89
4272	177	91
4273	128	93
4274	185	52
4275	189	75
4276	115	58
4277	140	67
4278	141	99
4279	199	97
4280	139	81
4281	112	40
4282	169	42
4283	118	49
4284	194	50
4285	173	73
4286	199	47
4287	172	89
4288	166	84
4289	162	73
4290	183	51
4291	112	80
4292	113	52
4293	165	61
4294	172	65
4295	172	62
4296	177	82
4297	130	43
4298	169	90
4299	197	42
4300	132	50
4301	167	75
4302	112	89
4303	139	50
4304	118	99
4305	123	78
4306	148	100
4307	162	81
4308	179	72
4309	172	86
4310	163	96
4311	142	79
4312	191	75
4313	122	74
4314	153	96
4315	125	85
4316	126	54
4317	162	89
4318	151	58
4319	144	69
4320	198	92
4321	125	57
4322	115	64
4323	147	47
4324	125	60
4325	186	49
4326	193	66
4327	112	94
4328	121	61
4329	119	92
4330	128	86
4331	195	82
4332	194	54
4333	147	42
4334	128	46
4335	133	65
4336	178	70
4337	113	51
4338	124	52
4339	149	93
4340	148	103
4341	161	56
4342	121	63
4343	135	94
4344	132	84
4345	174	61
4346	193	79
4347	194	56
4348	139	45
4349	136	58
4350	185	90
4351	155	99
4352	182	68
4353	146	54
4354	182	81
4355	183	43
4356	158	100
4357	170	100
4358	177	59
4359	137	70
4360	162	101
4361	181	67
4362	117	63
4363	145	69
4364	174	89
4365	137	104
4366	148	55
4367	127	102
4368	128	82
4369	155	41
4370	126	57
4371	164	96
4372	154	41
4373	166	42
4374	189	84
4375	167	78
4376	153	84
4377	119	60
4378	115	45
4379	125	50
4380	126	40
4381	169	59
4382	159	88
4383	155	55
4384	143	51
4385	183	53
4386	198	83
4387	127	78
4388	193	102
4389	183	61
4390	115	41
4391	195	69
4392	176	66
4393	167	50
4394	111	64
4395	138	46
4396	197	98
4397	176	103
4398	155	97
4399	188	81
4400	126	99
4401	129	72
4402	167	95
4403	176	103
4404	192	78
4405	153	104
4406	186	98
4407	148	88
4408	151	45
4409	144	98
4410	192	94
4411	144	56
4412	145	71
4413	193	105
4414	132	60
4415	134	68
4416	195	47
4417	123	51
4418	160	101
4419	148	40
4420	158	58
4421	163	64
4422	198	70
4423	161	81
4424	141	80
4425	144	49
4426	127	51
4427	116	53
4428	172	99
4429	146	79
4430	158	98
4431	160	97
4432	127	89
4433	181	65
4434	161	100
4435	157	49
4436	120	102
4437	141	52
4438	184	88
4439	172	42
4440	159	96
4441	176	100
4442	151	73
4443	182	74
4444	180	100
4445	179	104
4446	189	72
4447	196	102
4448	167	86
4449	160	103
4450	164	64
4451	159	42
4452	136	43
4453	118	73
4454	167	88
4455	142	59
4456	196	95
4457	194	96
4458	148	77
4459	176	43
4460	143	77
4461	159	85
4462	113	102
4463	112	72
4464	166	103
4465	172	87
4466	152	103
4467	113	90
4468	182	98
4469	134	91
4470	122	41
4471	154	49
4472	140	95
4473	113	47
4474	121	76
4475	131	81
4476	160	92
4477	111	66
4478	174	84
4479	151	58
4480	139	76
4481	174	61
4482	168	93
4483	181	80
4484	133	48
4485	159	79
4486	113	94
4487	141	63
4488	111	45
4489	129	102
4490	177	99
4491	122	100
4492	163	84
4493	157	81
4494	191	41
4495	143	103
4496	132	60
4497	184	63
4498	172	70
4499	175	55
4500	174	49
4501	191	54
4502	170	85
4503	175	93
4504	177	91
4505	132	104
4506	155	69
4507	145	51
4508	144	57
4509	185	62
4510	143	64
4511	165	83
4512	116	48
4513	121	55
4514	113	78
4515	125	51
4516	122	104
4517	124	64
4518	155	95
4519	155	81
4520	148	83
4521	123	44
4522	182	98
4523	165	93
4524	170	83
4525	146	63
4526	191	49
4527	130	58
4528	114	99
4529	185	53
4530	190	96
4531	138	64
4532	116	47
4533	192	63
4534	118	88
4535	180	72
4536	122	78
4537	112	93
4538	118	79
4539	170	90
4540	167	87
4541	125	51
4542	123	83
4543	144	43
4544	121	81
4545	159	92
4546	197	45
4547	173	81
4548	198	69
4549	112	74
4550	124	47
4551	131	44
4552	196	47
4553	167	94
4554	149	76
4555	176	55
4556	153	88
4557	130	71
4558	178	97
4559	180	82
4560	148	93
4561	141	86
4562	131	65
4563	184	43
4564	150	103
4565	146	87
4566	175	94
4567	189	91
4568	173	73
4569	178	81
4570	189	59
4571	165	72
4572	188	78
4573	127	80
4574	159	97
4575	118	69
4576	147	89
4577	149	57
4578	132	61
4579	140	86
4580	113	41
4581	134	66
4582	154	78
4583	190	49
4584	144	68
4585	159	54
4586	140	73
4587	186	103
4588	180	41
4589	113	71
4590	136	81
4591	157	82
4592	129	89
4593	180	56
4594	141	58
4595	117	45
4596	189	76
4597	114	47
4598	197	60
4599	127	104
4600	139	47
4601	136	59
4602	134	65
4603	198	102
4604	144	68
4605	150	43
4606	175	86
4607	135	75
4608	190	84
4609	190	94
4610	136	90
4611	130	47
4612	157	40
4613	186	84
4614	133	55
4615	177	92
4616	118	80
4617	161	80
4618	171	49
4619	177	93
4620	178	69
4621	198	88
4622	132	97
4623	152	96
4624	156	103
4625	166	55
4626	193	42
4627	194	47
4628	178	76
4629	147	93
4630	113	75
4631	188	67
4632	112	95
4633	145	43
4634	154	89
4635	157	69
4636	160	90
4637	169	46
4638	112	80
4639	134	53
4640	120	62
4641	116	95
4642	193	82
4643	131	56
4644	188	74
4645	182	104
4646	178	48
4647	167	104
4648	127	95
4649	115	90
4650	178	84
4651	154	93
4652	153	58
4653	131	49
4654	169	59
4655	167	78
4656	135	55
4657	127	102
4658	111	82
4659	128	91
4660	187	98
4661	173	100
4662	183	84
4663	147	91
4664	173	57
4665	122	47
4666	187	103
4667	195	47
4668	171	41
4669	175	44
4670	156	94
4671	113	92
4672	137	56
4673	118	95
4674	145	60
4675	154	92
4676	122	63
4677	183	61
4678	181	75
4679	180	79
4680	165	49
4681	176	71
4682	192	93
4683	169	80
4684	119	91
4685	171	83
4686	141	89
4687	194	97
4688	146	44
4689	188	66
4690	113	75
4691	197	84
4692	193	80
4693	112	98
4694	162	82
4695	164	44
4696	136	98
4697	124	78
4698	112	61
4699	118	50
4700	118	44
4701	160	103
4702	177	96
4703	171	80
4704	141	51
4705	151	74
4706	138	47
4707	125	90
4708	163	44
4709	179	55
4710	169	51
4711	136	68
4712	189	43
4713	142	80
4714	165	92
4715	149	75
4716	128	52
4717	162	78
4718	184	50
4719	139	84
4720	136	85
4721	180	40
4722	169	40
4723	169	99
4724	119	45
4725	140	100
4726	122	75
4727	164	63
4728	174	80
4729	115	84
4730	154	84
4731	159	104
4732	188	84
4733	132	66
4734	198	42
4735	155	51
4736	127	47
4737	152	61
4738	120	64
4739	113	86
4740	130	45
4741	144	64
4742	179	89
4743	156	89
4744	135	89
4745	165	78
4746	117	77
4747	150	88
4748	133	83
4749	126	70
4750	195	71
4751	187	69
4752	178	48
4753	177	91
4754	143	63
4755	112	45
4756	145	81
4757	180	48
4758	172	96
4759	186	49
4760	118	44
4761	142	105
4762	129	95
4763	127	63
4764	152	95
4765	135	48
4766	119	92
4767	184	41
4768	183	45
4769	154	101
4770	177	77
4771	148	60
4772	184	48
4773	154	48
4774	196	80
4775	135	87
4776	192	93
4777	129	104
4778	164	103
4779	115	103
4780	191	79
4781	178	80
4782	169	102
4783	113	66
4784	192	64
4785	144	49
4786	166	73
4787	188	91
4788	128	68
4789	128	69
4790	170	103
4791	182	54
4792	128	49
4793	157	76
4794	133	53
4795	182	105
4796	193	48
4797	166	72
4798	143	42
4799	175	43
4800	196	62
4801	157	100
4802	126	66
4803	130	43
4804	131	96
4805	130	83
4806	178	94
4807	157	90
4808	142	54
4809	119	72
4810	173	51
4811	157	79
4812	165	89
4813	174	47
4814	134	92
4815	175	68
4816	188	49
4817	151	77
4818	143	100
4819	151	74
4820	167	75
4821	193	101
4822	113	88
4823	164	80
4824	121	46
4825	159	68
4826	184	98
4827	178	99
4828	174	88
4829	113	74
4830	110	47
4831	136	53
4832	199	51
4833	129	42
4834	187	41
4835	112	102
4836	120	84
4837	161	48
4838	167	82
4839	151	97
4840	183	75
4841	170	47
4842	194	92
4843	139	44
4844	184	103
4845	198	62
4846	184	99
4847	172	97
4848	197	94
4849	123	94
4850	168	88
4851	121	57
4852	194	62
4853	124	76
4854	183	72
4855	192	78
4856	182	101
4857	181	51
4858	196	67
4859	122	55
4860	183	45
4861	144	44
4862	142	94
4863	139	54
4864	141	82
4865	155	40
4866	124	100
4867	178	59
4868	144	77
4869	190	96
4870	186	51
4871	162	85
4872	171	97
4873	199	42
4874	123	89
4875	122	48
4876	135	83
4877	136	69
4878	150	45
4879	133	96
4880	167	102
4881	192	88
4882	123	47
4883	187	99
4884	143	59
4885	144	77
4886	147	75
4887	160	43
4888	189	100
4889	156	92
4890	175	60
4891	145	61
4892	125	65
4893	151	89
4894	145	54
4895	194	51
4896	186	93
4897	185	101
4898	162	54
4899	168	51
4900	197	101
4901	135	63
4902	144	88
4903	144	43
4904	158	40
4905	116	85
4906	180	97
4907	187	53
4908	122	58
4909	118	65
4910	143	58
4911	190	49
4912	122	63
4913	146	89
4914	135	67
4915	144	82
4916	162	55
4917	111	75
4918	162	97
4919	142	87
4920	125	61
4921	192	47
4922	118	96
4923	196	77
4924	191	92
4925	167	73
4926	159	93
4927	119	74
4928	121	45
4929	195	49
4930	189	92
4931	159	47
4932	141	75
4933	163	63
4934	161	68
4935	132	89
4936	170	87
4937	132	80
4938	193	49
4939	139	49
4940	160	91
4941	178	92
4942	156	64
4943	182	44
4944	142	81
4945	162	66
4946	194	65
4947	171	104
4948	160	47
4949	143	73
4950	117	69
4951	138	63
4952	136	45
4953	112	43
4954	154	60
4955	113	96
4956	177	98
4957	114	87
4958	142	85
4959	154	42
4960	167	62
4961	156	101
4962	175	85
4963	198	41
4964	160	102
4965	178	50
4966	165	83
4967	153	95
4968	133	41
4969	184	45
4970	126	40
4971	119	73
4972	159	44
4973	168	89
4974	141	61
4975	137	44
4976	120	101
4977	113	50
4978	145	60
4979	161	79
4980	112	87
4981	134	86
4982	128	95
4983	145	94
4984	115	94
4985	191	63
4986	183	70
4987	156	64
4988	148	78
4989	127	85
4990	176	52
4991	199	43
4992	144	80
4993	123	86
4994	112	53
4995	168	103
4996	161	83
4997	133	65
4998	145	62
4999	149	81
5000	151	102
